rbd,cod_reg_rbd,sin_alumnos,marca_excluida,puntaje_disponible,incluido
7826,10,False,False,True,True
11407,16,False,False,True,True
10743,13,False,False,True,True
2917,7,False,False,True,True
14324,5,False,False,True,True
8513,13,False,False,True,True
687,4,False,True,False,False
7185,14,True,False,False,False
26372,13,False,False,True,True
6521,9,False,True,False,False
2894,7,False,False,True,True
31327,13,False,False,True,True
879,4,False,True,False,False
12781,4,False,False,True,True
710,4,False,False,True,True
17859,8,False,False,True,True
6452,9,False,False,True,True
17690,8,False,False,True,True
1543,5,False,False,True,True
2207,6,False,False,True,True
192,1,False,False,True,True
69,15,False,False,True,True
733,4,False,False,True,True
6475,9,False,False,True,True
5147,8,False,False,True,True
1397,5,False,False,True,True
12094,13,False,False,True,True
10766,13,False,False,True,True
11430,8,False,False,True,True
16508,7,False,False,True,True
13491,4,False,False,True,True
24311,12,False,False,True,True
25639,13,False,False,True,True
11576,10,False,True,False,False
2084,5,False,False,True,True
5001,8,False,False,True,True
14819,5,False,False,True,True
4414,8,False,True,False,False
3086,7,False,False,True,True
25562,13,False,False,True,True
16485,7,False,False,True,True
2748,7,False,False,True,True
26249,13,False,False,True,True
5765,9,False,False,True,True
5101,8,False,False,True,True
4437,8,False,False,True,True
3435,7,False,False,True,True
2771,7,False,False,True,True
14865,5,False,False,True,True
4955,8,False,False,True,True
3458,7,False,False,True,True
1712,5,False,False,True,True
13637,4,False,False,True,True
25539,13,False,False,True,True
4268,8,False,False,True,True
4809,8,False,False,True,True
3063,7,False,False,True,True
1735,5,False,False,True,True
3481,7,False,False,True,True
2940,7,False,False,True,True
2817,7,False,False,True,True
1002,4,False,True,False,False
25393,13,False,False,True,True
10156,13,False,False,True,True
7749,10,False,False,True,True
20235,9,False,False,True,True
8828,13,False,False,True,True
1251,5,False,False,True,True
25808,13,False,False,True,True
4168,8,False,False,True,True
8390,11,False,False,True,True
564,4,True,False,False,False
361,2,False,False,True,True
7062,14,False,False,True,True
22499,10,False,False,True,True
4855,8,False,False,True,True
1689,5,False,False,True,True
4560,8,False,False,True,True
14673,5,False,False,True,True
6183,9,False,False,True,True
11035,3,False,False,True,True
10202,13,False,False,True,True
16608,7,False,False,True,True
10348,13,False,False,True,True
315,2,False,False,True,True
7016,14,False,False,True,True
11971,13,False,False,True,True
418,3,False,False,True,True
6916,14,False,False,True,True
9910,13,False,False,True,True
17736,8,False,False,True,True
6667,9,False,False,True,True
10302,13,False,False,True,True
6767,14,False,False,True,True
8931,13,False,False,True,True
8974,13,False,False,True,True
18128,8,False,False,True,True
8287,10,False,False,True,True
8290,10,False,False,True,True
31012,14,False,False,True,True
8536,13,False,False,True,True
9369,13,False,False,True,True
9618,13,False,False,True,True
22353,14,False,True,False,False
18028,16,False,False,True,True
6126,9,False,False,True,True
7600,10,False,False,True,True
10305,13,False,False,True,True
8436,12,False,False,True,True
8682,13,False,False,True,True
10010,13,False,False,True,True
8928,13,False,False,True,True
40043,1,False,False,True,True
5585,9,False,False,True,True
14573,5,False,False,True,True
6083,9,False,True,False,False
12509,1,False,False,True,True
3853,16,False,True,False,False
4019,16,False,False,True,True
14716,5,False,False,True,True
6060,9,False,False,True,True
3355,7,False,False,True,True
464,3,False,False,True,True
25436,13,False,False,True,True
22519,10,False,False,True,True
25101,13,False,False,True,True
1128,5,False,False,True,True
16780,8,False,False,True,True
3378,7,False,False,True,True
7434,10,False,False,True,True
4852,8,False,False,True,True
14381,5,False,False,True,True
4188,8,False,False,True,True
3143,7,False,False,True,True
20504,7,True,False,False,False
22396,10,False,False,True,True
1171,5,False,False,True,True
25224,13,False,False,True,True
4586,8,False,False,True,True
5250,9,False,False,True,True
3335,7,False,False,True,True
22419,10,False,False,True,True
11968,13,False,False,True,True
1148,5,False,False,True,True
24626,13,False,False,True,True
1271,5,False,False,True,True
15755,6,False,False,True,True
2814,7,False,False,True,True
630,4,False,False,True,True
22688,10,False,False,True,True
3876,16,False,False,True,True
3212,7,False,False,True,True
13342,4,False,False,True,True
1440,5,False,False,True,True
4686,8,False,False,True,True
5227,9,False,False,True,True
25785,13,False,False,True,True
2522,6,True,False,False,False
16588,7,False,False,True,True
587,4,False,False,True,True
89,15,False,True,False,False
836,4,False,True,False,False
22476,14,False,False,True,True
9741,13,False,False,True,True
5911,9,False,False,True,True
6160,9,False,False,True,True
4417,8,False,True,False,False
16488,7,False,False,True,True
195,1,False,False,True,True
730,4,False,False,True,True
7726,10,False,False,True,True
20212,9,False,False,True,True
8367,11,False,False,True,True
7285,14,False,False,True,True
7534,10,False,True,False,False
1961,5,False,False,True,True
14616,5,False,False,True,True
2210,6,False,False,True,True
26269,13,False,False,True,True
22668,10,False,False,True,True
10225,13,False,False,True,True
7975,10,False,False,True,True
9684,13,False,False,True,True
5270,9,False,False,True,True
6352,9,False,False,True,True
8410,11,False,False,True,True
8659,13,False,False,True,True
6495,9,False,True,False,False
10574,13,False,False,True,True
8310,10,False,False,True,True
16923,10,False,False,True,True
8267,10,False,True,False,False
1769,5,False,False,True,True
6644,9,False,False,True,True
2310,6,False,False,True,True
10474,13,False,False,True,True
10282,13,False,False,True,True
31430,13,False,False,True,True
9200,13,False,False,True,True
1377,5,False,False,True,True
9100,13,False,False,True,True
7477,10,False,False,True,True
10182,13,False,False,True,True
10723,13,False,False,True,True
5854,9,False,False,True,True
10245,13,False,False,True,True
7992,10,False,False,True,True
6996,14,False,False,True,True
2087,5,False,False,True,True
1755,5,False,False,True,True
12237,13,False,False,True,True
25542,13,False,False,True,True
1068,4,False,False,True,True
736,4,False,False,True,True
31161,13,False,False,True,True
9011,13,False,False,True,True
26538,13,False,False,True,True
3060,7,False,False,True,True
13116,3,False,True,False,False
10199,13,False,False,True,True
8038,10,False,False,True,True
8207,10,False,False,True,True
7706,10,False,False,True,True
25350,13,False,False,True,True
5121,8,False,False,True,True
8184,10,False,True,False,False
41357,14,False,False,True,True
25041,13,False,False,True,True
9512,13,False,False,True,True
26037,13,False,False,True,True
3106,7,False,False,True,True
9721,13,False,False,True,True
335,2,False,False,True,True
8748,13,False,False,True,True
4835,8,False,False,True,True
5499,9,False,False,True,True
10740,13,False,False,True,True
1586,5,False,False,True,True
16906,5,False,False,True,True
2914,7,False,False,True,True
8470,12,False,False,True,True
26083,13,False,False,True,True
12970,2,False,False,True,True
22462,14,False,False,True,True
6478,9,False,False,True,True
10763,13,False,False,True,True
4812,8,False,False,True,True
1609,5,False,False,True,True
15632,6,False,False,True,True
876,4,False,False,True,True
1045,4,False,False,True,True
6455,9,False,False,True,True
9704,13,False,False,True,True
10786,13,False,False,True,True
4958,8,False,False,True,True
2373,6,False,True,False,False
358,2,False,False,True,True
12260,13,False,False,True,True
1022,4,False,False,True,True
5522,9,False,False,True,True
6432,9,False,False,True,True
11719,8,False,False,True,True
1563,5,False,False,True,True
5768,9,False,False,True,True
40146,6,False,False,True,True
421,3,False,False,True,True
8579,13,False,False,True,True
8247,10,False,False,True,True
17733,8,False,False,True,True
1500,5,False,False,True,True
527,4,False,False,True,True
25001,13,False,False,True,True
16843,14,False,False,True,True
4357,8,False,True,False,False
20046,9,False,False,True,True
8685,13,False,False,True,True
6956,14,True,False,False,False
375,2,False,False,True,True
3707,16,False,False,True,True
1214,5,False,False,True,True
6624,9,False,False,True,True
2542,6,False,True,True,False
15526,6,False,False,True,True
2296,6,False,False,True,True
3624,7,False,False,True,True
10262,13,False,False,True,True
229,2,False,False,True,True
8639,13,False,False,True,True
7643,10,False,False,True,True
4311,8,False,False,True,True
14922,5,False,False,True,True
1692,5,False,False,True,True
3020,7,False,False,True,True
3315,7,False,False,True,True
2233,6,False,False,True,True
10594,13,False,False,True,True
24809,13,False,False,True,True
10159,13,False,False,True,True
16989,5,False,False,True,True
5831,9,False,False,True,True
12323,5,False,False,True,True
3169,7,False,False,True,True
22253,10,False,False,True,True
8144,10,False,True,False,False
9767,13,False,False,True,True
8533,13,False,False,True,True
959,4,False,False,True,True
22602,10,False,False,True,True
22356,10,False,False,True,True
14782,5,False,False,True,True
2041,5,False,False,True,True
5290,9,False,False,True,True
1108,4,False,False,True,True
26,15,False,False,True,True
567,4,False,False,True,True
813,4,False,False,True,True
22207,14,False,False,True,True
7305,14,False,False,True,True
2977,7,False,False,True,True
2436,6,False,False,True,True
11928,13,False,True,True,False
7059,14,False,False,True,True
6764,14,False,False,True,True
10846,13,False,False,True,True
16797,5,False,False,True,True
1895,5,False,False,True,True
5977,9,False,False,True,True
3664,16,False,False,True,True
15569,6,False,True,False,False
2170,6,False,False,True,True
3166,7,False,False,True,True
22210,10,False,False,True,True
