rbd,dvrbd,nom_rbd,cod_reg_rbd,region,cod_pro_rbd,provincia,cod_com_rbd,comuna,nalu_mate4b_rbd,prom_mate4b_rbd,marca_mate4b_rbd,obs_puntaje,motivo_exclusion,noaplica,codigo_bbdd,fecha_bbdd,grado,agno,marca_2_con_puntaje
687,4,ESCUELA DE HUANTA,4,Coquimbo,41,Elqui,4106,Vicuña,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
7185,4,ESCUELA PARTICULAR LOS AVELLANOS,14,Los Ríos,142,Ranco,14201,La Unión,0,,,,Sin alumnos evaluados,1,v22025,2026-06-22,4b,2025,False
6521,8,ESCUELA BASICA CAMARONES,9,La Araucanía,91,Cautín,9102,Carahue,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
879,6,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,4,Coquimbo,43,Limarí,4302,Combarbalá,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
11576,2,ESCUELA PARTICULAR N.290 LOS RADALES,10,Los Lagos,101,Llanquihue,10105,Frutillar,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
4414,8,ESCUELA BASICA MUNILQUE IZAURIETA,8,Biobío,83,Biobío,8305,Mulchén,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
1002,2,ESCUELA PARTICULAR EL SOCAVON,4,Coquimbo,42,Choapa,4201,Illapel,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
564,9,COLEGIO LA ESTRELLA,4,Coquimbo,41,Elqui,4101,La Serena,0,,,,Sin alumnos evaluados,1,v22025,2026-06-22,4b,2025,False
22353,0,ESCUELA PARTICULAR TRULLUN MAPU,14,Los Ríos,141,Valdivia,14108,Panguipulli,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
6083,6,ESCUELA PARTICULAR RELICURA,9,La Araucanía,91,Cautín,9115,Pucón,1,,1.0,"No es posible reportar resultados, porque la cantidad de estudiantes evaluados es insuficiente. (6 o menos)",Observación de puntaje,0,v22025,2026-06-22,4b,2025,False
