cod_reg_rbd,region,Zona,Macrozona,Orden,registros_originales,registros_efectivos,registros_no_efectivos,no_efectivos_con_puntaje,alumnos_bruto,alumnos_efectivos,alumnos_no_efectivos
15,Arica y Parinacota,Norte,Macrozona Norte,1,81,69,12,1,3023,2946,77
1,Tarapacá,Norte,Macrozona Norte,2,109,102,7,0,5295,5290,5
2,Antofagasta,Norte,Macrozona Norte,3,136,134,2,0,8307,8305,2
3,Atacama,Norte,Macrozona Norte,4,110,102,8,0,4082,4076,6
4,Coquimbo,Norte,Macrozona Centro Norte,5,447,372,75,2,10187,10106,81
5,Valparaíso,Centro,Macrozona Centro Norte,6,759,740,19,3,21403,21361,42
13,Metropolitana de Santiago,Centro,Macrozona Metropolitana,7,1754,1723,31,16,82485,82209,276
6,Libertador General Bernardo O'Higgins,Centro,Macrozona Centro Norte,8,445,421,24,5,11885,11798,87
7,Maule,Centro,Macrozona Centro Sur,9,558,505,53,6,13615,13507,108
16,Ñuble,Centro,Macrozona Centro Sur,10,290,251,39,2,5495,5436,59
8,Biobío,Sur,Macrozona Centro Sur,11,652,588,64,7,17743,17603,140
9,La Araucanía,Sur,Macrozona Centro Sur,12,788,668,120,5,12324,12177,147
14,Los Ríos,Sur,Macrozona Sur,13,299,251,48,3,4658,4549,109
10,Los Lagos,Sur,Macrozona Sur,14,600,494,106,5,10376,10223,153
11,Aysén del General Carlos Ibáñez del Campo,Sur,Macrozona Austral,15,59,52,7,0,1254,1251,3
12,Magallanes y de la Antártica Chilena,Sur,Macrozona Austral,16,56,52,4,0,1835,1831,4
