rbd,dv_rbd,nombre_establecimiento,asignatura,cod_reg_rbd,region,cod_pro_rbd,provincia,cod_com_rbd,comuna,deprov,pais,ubicacion_region,ubicacion_provincia,ubicacion_comuna,Zona,Macrozona,Orden,dependencia_6_cat,dependencia_4_cat,grupo_socioeconomico,ruralidad,n_alumnos,puntaje_promedio,pct_insuficiente,pct_elemental,pct_adecuado,efectividad,no_aplica,codigo_bbdd,fecha_bbdd,grado,anio
7826,3,COLEGIO SAN MIGUEL,Matematica,10,DE LOS LAGOS,101,LLANQUIHUE,10102,CALBUCO,Llanquihue,Chile,"DE LOS LAGOS, Chile","LLANQUIHUE, DE LOS LAGOS, Chile","CALBUCO, DE LOS LAGOS, Chile",Sur,Zona Sur,14,Particular subvencionado,Particular subvencionado,Medio,Urbano,65,263.0,30.8,46.2,23.1,Efectiva,0,v22025,2026-06-22,4b,2025
11407,3,ESCUELA BASICA LOS OLIVOS,Matematica,16,DE ÑUBLE,162,ITATA,16206,RÁNQUIL,Diguillín,Chile,"DE ÑUBLE, Chile","ITATA, DE ÑUBLE, Chile","RÁNQUIL, DE ÑUBLE, Chile",Sur,Zona Sur,10,Municipal DAEM,Municipal,Bajo,Rural,3,221.0,,,,Efectiva,0,v22025,2026-06-22,4b,2025
10743,3,INSTITUTO SAN FRANCISCO,Matematica,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13602,EL MONTE,Talagante,Chile,"METROPOLITANA DE SANTIAGO, Chile","TALAGANTE, METROPOLITANA DE SANTIAGO, Chile","EL MONTE, METROPOLITANA DE SANTIAGO, Chile",Centro,Zona Central,7,Particular subvencionado,Particular subvencionado,Medio bajo,Urbano,25,220.0,68.0,28.0,4.0,Efectiva,0,v22025,2026-06-22,4b,2025
2917,3,ESCUELA RAUCO,Matematica,7,DEL MAULE,73,CURICÓ,7305,RAUCO,Curico,Chile,"DEL MAULE, Chile","CURICÓ, DEL MAULE, Chile","RAUCO, DEL MAULE, Chile",Centro,Zona Central,9,Municipal DAEM,Municipal,Medio bajo,Urbano,17,243.0,52.9,29.4,17.6,Efectiva,0,v22025,2026-06-22,4b,2025
14324,3,COLEGIO WILLIAM JAMES,Matematica,5,DE VALPARAÍSO,51,VALPARAÍSO,5109,VIÑA DEL MAR,Valparaiso - Isla de Pascua,Chile,"DE VALPARAÍSO, Chile","VALPARAÍSO, DE VALPARAÍSO, Chile","VIÑA DEL MAR, DE VALPARAÍSO, Chile",Centro,Zona Central,6,Particular pagado,Particular pagado,Alto,Urbano,6,246.0,,,,Efectiva,0,v22025,2026-06-22,4b,2025
8513,8,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,Matematica,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,Centro,Chile,"METROPOLITANA DE SANTIAGO, Chile","SANTIAGO, METROPOLITANA DE SANTIAGO, Chile","SANTIAGO, METROPOLITANA DE SANTIAGO, Chile",Centro,Zona Central,7,Municipal DAEM,Municipal,Medio,Urbano,61,234.0,60.7,32.8,6.6,Efectiva,0,v22025,2026-06-22,4b,2025
26372,2,COLEGIO SAN LUCAS DE LO ESPEJO,Matematica,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13116,LO ESPEJO,Sur,Chile,"METROPOLITANA DE SANTIAGO, Chile","SANTIAGO, METROPOLITANA DE SANTIAGO, Chile","LO ESPEJO, METROPOLITANA DE SANTIAGO, Chile",Centro,Zona Central,7,Particular subvencionado,Particular subvencionado,Medio bajo,Urbano,58,264.0,29.3,48.3,22.4,Efectiva,0,v22025,2026-06-22,4b,2025
2894,0,ESCUELA AMELIA VIAL DE CONCHA,Matematica,7,DEL MAULE,73,CURICÓ,7302,HUALAÑÉ,Curico,Chile,"DEL MAULE, Chile","CURICÓ, DEL MAULE, Chile","HUALAÑÉ, DEL MAULE, Chile",Centro,Zona Central,9,Municipal DAEM,Municipal,Medio,Rural,17,283.0,11.8,41.2,47.1,Efectiva,0,v22025,2026-06-22,4b,2025
31327,0,COLEGIO ALICANTE DEL VALLE,Matematica,13,METROPOLITANA DE SANTIAGO,132,CORDILLERA,13201,PUENTE ALTO,Cordillera,Chile,"METROPOLITANA DE SANTIAGO, Chile","CORDILLERA, METROPOLITANA DE SANTIAGO, Chile","PUENTE ALTO, METROPOLITANA DE SANTIAGO, Chile",Centro,Zona Central,7,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,194,300.0,7.7,32.0,60.3,Efectiva,0,v22025,2026-06-22,4b,2025
12781,7,AMAZING GRACE ENGLISH SCHOOL,Matematica,4,DE COQUIMBO,41,ELQUI,4101,LA SERENA,Elqui,Chile,"DE COQUIMBO, Chile","ELQUI, DE COQUIMBO, Chile","LA SERENA, DE COQUIMBO, Chile",Norte,Norte Chico,5,Particular pagado,Particular pagado,Alto,Urbano,55,281.0,12.7,50.9,36.4,Efectiva,0,v22025,2026-06-22,4b,2025
